env_id,generation,mean_score,best_score,threshold_score
ALE/Pong-v5,0,-21.8,-19.2,18.0
ALE/Pong-v5,1,-20.1,-17.3,18.0
ALE/Pong-v5,2,-18.4,-15.1,18.0
ALE/Pong-v5,3,-16.7,-12.9,18.0
ALE/Pong-v5,4,-14.2,-9.8,18.0
ALE/Pong-v5,5,-11.6,-6.7,18.0
ALE/Pong-v5,6,-8.9,-3.2,18.0
ALE/Pong-v5,7,-5.8,0.8,18.0
ALE/Pong-v5,8,-2.4,4.9,18.0
ALE/Pong-v5,9,1.2,9.3,18.0
ALE/Pong-v5,10,4.8,13.7,18.0
ALE/Pong-v5,11,8.6,17.2,18.0
ALE/Breakout-v5,0,0.8,2.1,50.0
ALE/Breakout-v5,1,1.9,4.3,50.0
ALE/Breakout-v5,2,3.2,6.8,50.0
ALE/Breakout-v5,3,4.7,9.5,50.0
ALE/Breakout-v5,4,6.8,12.7,50.0
ALE/Breakout-v5,5,9.2,16.4,50.0
ALE/Breakout-v5,6,12.1,20.8,50.0
ALE/Breakout-v5,7,15.7,25.9,50.0
ALE/Breakout-v5,8,19.8,31.2,50.0
ALE/Breakout-v5,9,24.6,37.8,50.0
CartPole-v1,0,23.4,45.2,500.0
CartPole-v1,1,42.7,89.3,500.0
CartPole-v1,2,78.9,156.7,500.0
CartPole-v1,3,142.3,267.8,500.0
CartPole-v1,4,245.6,389.2,500.0
CartPole-v1,5,356.8,487.3,500.0
CartPole-v1,6,456.7,500.0,500.0
Acrobot-v1,0,-485.7,-325.2,-100.0
Acrobot-v1,1,-412.3,-268.9,-100.0
Acrobot-v1,2,-345.8,-198.4,-100.0
Acrobot-v1,3,-278.9,-145.7,-100.0
Acrobot-v1,4,-198.3,-112.6,-100.0
Acrobot-v1,5,-134.7,-97.8,-100.0
